id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
96,2009,Ahmedabad,2009-05-01,T20,Tilak Varma,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,bat,Kolkata Knight Riders,wickets,8,157,20,N,,umpire_A,umpire_B
97,2009,Kolkata,2009-05-02,T20,NV Ojha,"Eden Gardens, Kolkata",Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,runs,37,199,20,N,,umpire_A,umpire_B
98,2009,Hyderabad,2009-05-03,T20,DL Chahar,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,154,20,N,,umpire_A,umpire_B
99,2009,Bengaluru,2009-05-04,T20,RG Sharma,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,runs,10,190,20,N,,umpire_A,umpire_B
100,2009,Mumbai,2009-05-05,T20,DP Conway,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7,194,20,N,,umpire_A,umpire_B
101,2009,Kolkata,2009-05-06,T20,DJ Bravo,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bengaluru,wickets,6,153,20,N,,umpire_A,umpire_B
102,2009,Mohali,2009-05-07,T20,YS Chahal,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,7,187,20,N,,umpire_A,umpire_B
103,2009,Lucknow,2009-05-08,T20,AD Russell,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,134,20,N,,umpire_A,umpire_B
104,2009,Delhi,2009-05-09,T20,Q de Kock,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,wickets,5,180,20,N,,umpire_A,umpire_B
105,2009,Lucknow,2009-05-10,T20,M Morkel,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Royal Challengers Bengaluru,wickets,4,111,20,N,,umpire_A,umpire_B
106,2009,Kolkata,2009-05-11,T20,SK Raina,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,runs,45,173,20,N,,umpire_A,umpire_B
107,2009,Chennai,2009-05-12,T20,SV Samson,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,wickets,5,171,20,N,,umpire_A,umpire_B
108,2009,Chennai,2009-05-13,T20,Harbhajan Singh,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,2,168,20,N,,umpire_A,umpire_B
109,2009,Bengaluru,2009-05-14,T20,SE Marsh,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,runs,10,173,20,N,,umpire_A,umpire_B
110,2009,Chennai,2009-05-15,T20,CH Gayle,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,wickets,6,193,20,N,,umpire_A,umpire_B
111,2010,Delhi,2010-03-22,T20,HH Pandya,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,1,160,20,N,,umpire_A,umpire_B
112,2010,Jaipur,2010-03-23,T20,DJ Bravo,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,165,20,N,,umpire_A,umpire_B
113,2010,Jaipur,2010-03-24,T20,V Kohli,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,5,160,20,N,,umpire_A,umpire_B
114,2010,Chennai,2010-03-25,T20,F du Plessis,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,,no result,0,0,20,N,,umpire_A,umpire_B
115,2010,Hyderabad,2010-03-26,T20,G Gambhir,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Punjab Kings,runs,10,204,20,N,,umpire_A,umpire_B
116,2010,Mohali,2010-03-27,T20,Q de Kock,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Royal Challengers Bengaluru,wickets,4,159,20,N,,umpire_A,umpire_B
117,2010,Kolkata,2010-03-28,T20,WP Saha,"Eden Gardens, Kolkata",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,29,209,20,N,,umpire_A,umpire_B
118,2010,Kolkata,2010-03-29,T20,DA Warner,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,148,20,N,,umpire_A,umpire_B
